매장명,작성일,리뷰내용,감정분석,평점,방문횟수,고객_선택_태그,방문시간,동반자,고객반응_포인트,매장_TOP인기반응
달빛에구운고등어 만성점,2026-02-07,"리뷰 1,315 29팔로워 1 2.7.토",중립,없음,없음,태그 없음,,,특별한 메뉴가 있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-05,리뷰 342 74,중립,없음,없음,태그 없음,,,단체모임 하기 좋아요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-03-02,"리뷰 1,315 29팔로워 1",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-02-21,"리뷰 1,027",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-01-21,리뷰 750 153 결제내역,중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-01-19,"리뷰 1,382 7",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2024-12-19,"리뷰 1,143 29",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2024-11-16,리뷰 492 7 결제내역,중립,없음,없음,태그 없음,,,양이 많아요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-10,"리뷰 1,008 355팔로워 9 음식이 맛있고 친절하세요 음식이 맛있어요재료가 신선해요매장이 넓어요혼밥하기 좋아요 1.10.토",긍정,없음,없음,태그 없음,,점심에 방문  일상친구,친절해요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-10,"리뷰 2,742 520 굿 1.10.토",중립,없음,없음,태그 없음,점심,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2026-01-01,"리뷰 1,647 32 맛있어요 1.1.목",긍정,없음,없음,태그 없음,저녁,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-12-27,"리뷰 1,158 7팔로워 7 굿 음식이 맛있어요",긍정,없음,없음,태그 없음,점심,,재료가 신선해요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-12-26,"리뷰 1,744 272 저녁에 방문 데이트연인・배우자",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-26,"리뷰 1,052 239팔로워 23 저녁에 방문 10분 이내 일상연인・배우자, 아이 음식들이 대체적으로 깔끔하게 잘 나오며 맛있습니다 👍 아이들이 잘먹으니 뿌듯해요 ☺️ 매장도 넓고~다음 번에는 부모님 모시구 함께 와야겠어요 ㅎㅎ 음식이 맛있어요반찬이 잘 나와요매장이 넓어요친절해요",긍정,없음,없음,태그 없음,,,아이와 가기 좋아요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-23,리뷰 379 450팔로워 24 점심에 방문 가족모임부모님 갈치먹으러 갔는데 갈치가 품절이라(처음봄) 당황.. 원래 신시가지로 먹으러다니는데 주차가 안되어서 혁신으로 왔는데 음.. 양이 많아요,중립,없음,없음,태그 없음,,,특별한 메뉴가 있어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-18,리뷰 606 8 점심에 방문 10분 이내 친목친구 좋아요 음식이 맛있어요재료가 신선해요,긍정,없음,없음,태그 없음,,,가성비가 좋아요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-15,"리뷰 1,827 2,514팔로워 46 점심에 방문 일상연인・배우자, 아이 생선구이는 달빛고등어가 최고인데 오랜만에 갔더니 가격이 많이 올랐네요 어린이 고등어가 10,000원 이라니 ㅠㅠ 음식이 맛있어요양이 많아요",긍정,없음,없음,태그 없음,,,매장이 넓어요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 만성점,2025-11-04,"리뷰 266 640팔로워 20 여긴 저녁 시간에도 손님들이 많네요. 소불고기는 처음 먹어봤는데, 음식이 빨리 준비되었지만, 예상보다 양이 적었고, 조금 달게 느껴져서 아쉬웠어요. 하지만, 다양한 반찬 덕분에 밥 먹기 좋았고, 후식 음료도 제공되며, 특히 계란말이가 있어서 만족스러운 식사를 했습니다! 가성비가 좋아요특별한 메뉴가 있어요반찬이 잘 나와요음식이 빨리 나와요",긍정,없음,없음,태그 없음,저녁,,주차하기 편해요,"고등어(88), 생선(66), 생선구이(42), 계란말이(34), 고등어구이(29), 잡채(18), 누룽지(16), 불고기(11), 두부조림(9), 갈치(7)"
달빛에구운고등어 어양점,2026-04-09,리뷰 20 28 저녁에 방문 친목지인・동료 달빛고 다른지역.동네 자주이용하는데 여긴 생선을 너무 허옇게 구워주셔서 화덕생선의 바삭함이 없네요 ㅜ 누룽지도 국물이 덜우러나서 약간 수돗물맛나고 고소함이덜해요 반찬이 잘 나와요매장이 넓어요차분한 분위기예요오래 머무르기 좋아요 4.9.목 결제내역,긍정,없음,없음,태그 없음,,,좌석이 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-03-21,리뷰 18 7 모듬 시켜봤어요 음 저희는 좀 별로였어요 양념을 가자미 아닌 고등어면 좋겠어요 모듬에 무슨 생선들이 나오는지 키오스크에 표시가 되어 있었으면 좋겠어요 샐러드 바 등 사이드 음식 너무 맛있어요 배 부르게 잘 먹었어요 음식이 맛있어요 3.21.토,긍정,없음,없음,태그 없음,,점심에 방문  친목아이,매장이 넓어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-03-10,"리뷰 22 1 저녁에 방문 데이트연인・배우자 서울에서 익산 사는 지인 집 방문할 때 재작년 식사했던 기억이 나쁘지 않아서, 재방문 하게 됐습니다. 그런데 식사 중 손님도 없어서 한적한데 카운터쪽 여자 직원들 3~4명 모여서 너무 시끄럽게 하고,, 전반적으로 이렇게 산만한 분위기 식당 처음 보네요;;; 매장이 넓어요 3.10.화",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-03-09,리뷰 624 352 맛있어요~~ 재료가 신선해요매장이 넓어요친절해요매장이 청결해요 3.9.월,긍정,없음,없음,태그 없음,,저녁에 방문  친목친구,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-03-02,"리뷰 1,521 252 점심에 방문 데이트, 친목연인・배우자 잡채도 달걀말이도 너무 맛있어요 생선도 바짝 구워주셔서 맛있었습니다 음식이 맛있어요 3.2.월",긍정,없음,없음,태그 없음,,,재료가 신선해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-03-01,"리뷰 487 1,426 점심에 방문 친목친척・형제자매 달빛은 누구랑 와도 싫어하는 사람이 없어서 무난한 곳이예요 고등어구이, 고등어조림, 고추장불고기 모두 괜찮고 반찬도 다양하게 리필해 먹을 수 있어서 좋아요 근데 계속 가격이 올라서 살짝 아쉽긴 합니당 음식이 맛있어요재료가 신선해요매장이 넓어요 3.1.일",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-28,"리뷰 1,853 1,081 . 2.28.토",중립,없음,없음,태그 없음,점심,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-25,"리뷰 487 1,426 저녁에 방문 데이트연인・배우자 내 최애 생선 고등어구이 먹으러 왔어요 담백하고 적당한 기름이 있어서 고등어는 언제 먹어도 맛있네요 촉촉하고 통통한 살 발라서 밥이랑 먹으면 참 행복해집니다 남편은 고추장불고기 매니아라 역시 그거 시키더라구요 양배추랑 야채가 많이 줄어 비쥬얼이 좀 단촐해진 느낌 마지막 누룽지로 속 편하게 마무리했습니당 음식이 맛있어요가성비가 좋아요매장이 넓어요 2.25.수",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-25,"리뷰 616 1,627 점심에 방문 일상연인・배우자 이사온 친구네 집들이 갔다가 단체로 방문했는데 양도 많고 생선도 다양하니 건강한 한끼 먹을 수 있어서 넘 든든했네요~! 음식이 맛있어요재료가 신선해요양이 많아요매장이 넓어요 2.25.수",긍정,없음,없음,태그 없음,,,단체모임 하기 좋아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-25,리뷰 124 456 굿굿 항상 먹을 때 마다 감탄하면서 먹는 곳 생선도 하나도 안비리고 넘 맛있어용 입에서 살살 녹는 고등어무조림까지 클리어 하고 왔네용🥰🥰 음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요 2.25.수,긍정,없음,없음,태그 없음,,점심에 방문  친목친구,가성비가 좋아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-17,"리뷰 2,698 26 2.17.화 결제내역",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-12-15,"리뷰 1,194 349팔로워 10",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-09-13,"리뷰 3,387 5",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-09-10,리뷰 105 23,중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-09-10,"리뷰 1,181 6팔로워 5",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-06-28,리뷰 628 4,중립,없음,없음,태그 없음,,,양이 많아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-06-11,리뷰 21 1,중립,없음,없음,태그 없음,,,양이 많아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-06-07,"리뷰 1,135 2",중립,없음,없음,태그 없음,,,친절해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-06-07,"리뷰 2,635 6",중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2025-05-30,리뷰 20 8,중립,없음,없음,태그 없음,,,음식이 맛있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-25,"리뷰 506 1,956 점심에 방문 일상지인・동료 어양어양~ 달빛에구운고등어! 아주 맛있고 든든하구만요 셀프바 반찬들도 완전 다양하구~ 또 올게요~~~ 번창하세요🙆‍♀️🙆‍♀️💜🩷 음식이 맛있어요특별한 메뉴가 있어요단체모임 하기 좋아요혼밥하기 좋아요 2.25.수",긍정,없음,없음,태그 없음,,,친절해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-21,"리뷰 1,866 935팔로워 49 점심에 방문 데이트연인・배우자 포장해서 먹어도 맛잇어요 인테리어가 멋져요매장이 넓어요 2.21.토",긍정,없음,없음,태그 없음,,,혼밥하기 좋아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-02-03,리뷰 70 52 점심에 방문 비즈니스지인・동료 맛나게 잘 먹었어요~! 음식이 맛있어요가성비가 좋아요반찬이 잘 나와요건강한 맛이에요 2.3.화,긍정,없음,없음,태그 없음,,,매장이 넓어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-25,"리뷰 1,078 1,152 간만에 갔는데 맛있네요 개인적으로 생선을 별로 안좋아 하는데 그래도 잘 먹었네요 음식이 맛있어요재료가 신선해요양이 많아요 1.25.일",긍정,없음,없음,태그 없음,점심,,친절해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-24,"리뷰 16 1 저녁에 방문 10분 이내 일상연인・배우자, 아이 생선좋아하는 아이 데려가기 좋아요 굿굿 음식이 맛있어요재료가 신선해요양이 많아요 1.24.토 결제내역",긍정,없음,없음,태그 없음,,,가성비가 좋아요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-21,"리뷰 487 1,426 저녁에 방문 데이트연인・배우자 생선구이하면 달빛~ 저녁 먹으려고 방문했는데 오늘 날씨가 엄청 추워서 매장은 좀 따뜻할 줄 알았는데 너무 썰렁하고 춥더라구요 온기가 없어서 엉덩이도 좀 시렵고ㅎ 온풍기 적당히 돌려도 될 것 같은데 아마 이른 저녁 시간이라 덜 트신 느낌 추워서 얼른 먹고 일어났습니다 고등어구이는 맛있었습니다 날씨에 따라 실내온도를 요령껏 조절하심이 단골로서 부탁드려봅니다 음식이 맛있어요재료가 신선해요매장이 넓어요 1.21.수",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-20,리뷰 718 312 저녁에 방문 데이트연인・배우자 반찬 가짓수도 많고 무엇보다 생선이 너무 맛있어요!! 화덕에서 구워 촉촉하고 양도 많고 반찬도 신선하고 다 맛있어요 음식이 맛있어요양이 많아요 1.20.화,긍정,없음,없음,태그 없음,,가족모임으로 완전 추천~!,재료가 신선해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-10,리뷰 51 73 저녁에 방문 일상연인・배우자 모현점까지 안가고 여기서 먹을수있어서 이사온뒤로 달에 한번은 오는것같음(생선 좋아함) 언젠가부터 가자미 위 양념장을 올려주시는데 갠적으로 매워서 따로 주시거나 선택 가능했으면 함ㅠ 굽기 정도 좋고 친절하시고 찬 코너도 금방금방 채워주심 음식이 맛있어요반찬이 잘 나와요메뉴 구성이 알차요친절해요 1.10.토 결제내역,긍정,없음,없음,태그 없음,,,샐러드바가 잘 되어있어요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-07,"리뷰 487 1,426 저녁에 방문 친목친척・형제자매 타지역에 사는 동생이 놀러와서 달빛 가고 싶다고 해서 방문했어요 고등어구이, 갈치구이, 꼬막비빔밥 주문했는데 제 원픽인 고등어구이는 역시 굿이구요ㅎㅎ 갈치구이는 엄청 크네요 안짜서 좋더라구요 남편이 시킨 꼬막비빔밥은 꼬막이 냉동되었다가 나온 듯 많이 차가워서 밥이랑 같이 비볐는데도 따뜻한 온기가 없어서 많이 아쉬웠어요 날 따뜻할 때 먹어야 할 듯합니다 겨울이라 전체적으로 음식이 따뜻하면 더 좋을텐데 김치전도 많이 차가워서 좀 따뜻했더라면 하는 아쉬움이~ 그래도 저는 고등어구이를 제일 좋아해 메인이 마음에 들어 오기때문에 행복한 식사 하고 갑니다 음식이 맛있어요가성비가 좋아요매장이 넓어요친절해요 1.7.수",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 어양점,2026-01-03,"리뷰 487 1,426 점심에 방문 데이트연인・배우자 새해 들어 첫 방문인데 가족단위 손님들로 북적대네요 저의 최애 고등어구이 역시 탁월한 선택이었고 짝꿍이 선택한 고추장불고기는 전에 비해 양배추랑 야채가 많이 줄었더라구요 물가상승의 여파가 식탁에도 반영인건가봐요ㅋ 반찬은 저희가 먹지 않는 미역줄기가 없어서 완전 땡큐였고 도라지무침을 비롯해 시금치무침, 콩나물무침, 계란말이, 묵, 마카로니샐러드, 잡채, 김치전, 겉절이 등 반찬도 다 맛있었어요 계란말이 무한리필 사랑해요♡ 단백질보충 실컷 하고 누룽지로 기분좋게 마무리하고 왔어요 키오스크로 바뀐후 좌석 회전률이 더 빨라진 것 같아 칭찬합니다 음식이 맛있어요가성비가 좋아요매장이 넓어요 1.3.토 달빛에구운고등어 어양점 1.5.월 안녕하세요, 하이만선님. 매번 잊지 않고 찾아와주셔서 감사합니다^^. 리뷰들을 보면서 항상 반성하고 더 맛있는 고등어와 음식들을 제공할 수 있도록 노력하겠습니다. 다음에도 찾아와주세요^^.",긍정,없음,없음,태그 없음,,,주차하기 편해요,"고등어(195), 생선(177), 생선구이(84), 고등어구이(68), 계란말이(66), 누룽지(34), 잡채(22), 불고기(21), 고등어조림(16), 고추장불고기(13)"
달빛에구운고등어 도마점,2026-04-03,"리뷰 31 35 저녁에 방문 가족모임연인・배우자, 아이, 부모님 맛있게 잘 먹었습니다. 감사합니다.^^ 음식이 맛있어요양이 많아요재료가 신선해요가성비가 좋아요 4.3.금",긍정,없음,없음,태그 없음,,,메뉴 구성이 알차요,"고등어(190), 생선(170), 생선구이(116), 고등어구이(61), 계란말이(50), 잡채(30), 샐러드(20), 불고기(17), 갈치(14), 누룽지(14)"
달빛에구운고등어 도마점,2026-03-31,리뷰 966 862팔로워 14 점심특선으로 이용했는데 셀프바도 있고 구성도 좋아서 배부르고 맛있게 잘 먹었습니다:) 음식이 맛있어요매장이 넓어요 3.31.화,긍정,없음,없음,태그 없음,,점심에 방문  일상부모님,차분한 분위기예요,"고등어(190), 생선(170), 생선구이(116), 고등어구이(61), 계란말이(50), 잡채(30), 샐러드(20), 불고기(17), 갈치(14), 누룽지(14)"
달빛에구운고등어 도마점,2026-03-29,"리뷰 1,021 1,064 저녁에 방문 일상연인・배우자, 아이 달빛에구운고등어 도마점 3.29.일",중립,없음,없음,태그 없음,,,아이와 가기 좋아요,"고등어(190), 생선(170), 생선구이(116), 고등어구이(61), 계란말이(50), 잡채(30), 샐러드(20), 불고기(17), 갈치(14), 누룽지(14)"
달빛에구운고등어 도마점,2026-03-22,리뷰 55 5 점심에 방문 일상연인・배우자 물만 앞에두고 20분 기다림 직원응대 너무 불친절 리뷰 잘안쓰는데 이건 아닌듯 늦으면 이유라도 말해줘야지 3.22.일,부정,없음,없음,태그 없음,,,뷰가 좋아요,"고등어(190), 생선(170), 생선구이(116), 고등어구이(61), 계란말이(50), 잡채(30), 샐러드(20), 불고기(17), 갈치(14), 누룽지(14)"
